"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","y"
"36234",32,"admin.","married","university.degree","no","yes","no","cellular","jun","mon",1,999,1,"failure",-2.9,92.963,-40.8,"yes"
"39221",34,"admin.","single","university.degree","no","yes","no","cellular","mar","tue",1,6,3,"success",-1.8,93.369,-34.8,"yes"
"3888",28,"blue-collar","married","basic.9y","no","no","yes","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"34166",42,"technician","single","professional.course","no","no","no","cellular","may","wed",2,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"38717",38,"admin.","married","university.degree","no","yes","no","cellular","nov","tue",1,3,3,"success",-3.4,92.649,-30.1,"yes"
"38319",37,"blue-collar","married","basic.6y","no","no","no","cellular","oct","thu",2,6,3,"failure",-3.4,92.431,-26.9,"yes"
"34197",31,"blue-collar","married","basic.6y","no","yes","no","cellular","may","wed",3,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"39822",47,"blue-collar","married","basic.9y","no","unknown","unknown","cellular","jun","tue",1,999,0,"nonexistent",-1.7,94.055,-39.8,"yes"
"31333",41,"blue-collar","single","basic.9y","no","no","yes","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"24028",43,"self-employed","married","high.school","no","yes","no","telephone","oct","wed",1,999,0,"nonexistent",-0.1,93.798,-40.4,"yes"
"9841",37,"admin.","married","university.degree","no","no","no","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,"yes"
"12807",39,"blue-collar","married","basic.6y","unknown","no","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"27926",25,"admin.","married","university.degree","no","yes","no","cellular","mar","fri",1,999,0,"nonexistent",-1.8,92.843,-50,"yes"
"35942",43,"blue-collar","married","basic.9y","no","no","yes","cellular","may","mon",1,3,1,"success",-1.8,92.893,-46.2,"yes"
"37917",18,"student","single","unknown","no","no","no","cellular","sep","thu",1,3,1,"success",-3.4,92.379,-29.8,"yes"
"30331",22,"student","single","high.school","no","no","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"40252",65,"management","married","university.degree","no","yes","no","cellular","jul","mon",1,999,2,"failure",-1.7,94.215,-40.3,"yes"
"27705",44,"blue-collar","single","professional.course","no","no","no","cellular","mar","mon",1,999,0,"nonexistent",-1.8,92.843,-50,"yes"
"33036",27,"blue-collar","married","basic.4y","unknown","no","no","cellular","may","mon",7,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"28382",33,"technician","single","university.degree","no","no","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"37753",34,"unemployed","single","professional.course","no","no","no","cellular","aug","fri",2,2,1,"success",-2.9,92.201,-31.4,"yes"
"24489",32,"blue-collar","married","high.school","no","yes","no","telephone","nov","mon",1,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"34120",30,"admin.","single","high.school","no","no","no","cellular","may","wed",2,999,1,"failure",-1.8,92.893,-46.2,"yes"
"39012",86,"retired","married","professional.course","no","no","no","telephone","dec","wed",2,999,0,"nonexistent",-3,92.713,-33,"yes"
"11234",38,"blue-collar","married","basic.6y","unknown","no","no","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,"yes"
"39915",36,"admin.","single","university.degree","no","yes","yes","cellular","jun","wed",1,999,0,"nonexistent",-1.7,94.055,-39.8,"yes"
"28499",30,"admin.","married","university.degree","no","no","no","cellular","apr","tue",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"39612",52,"technician","married","university.degree","no","no","no","cellular","may","thu",1,3,4,"success",-1.8,93.876,-40,"yes"
"28625",41,"services","single","high.school","no","yes","yes","cellular","apr","wed",2,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"28405",30,"self-employed","single","university.degree","no","yes","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"33998",53,"admin.","married","basic.9y","no","yes","yes","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"40066",21,"student","single","unknown","no","no","no","telephone","jul","thu",1,12,1,"success",-1.7,94.215,-40.3,"yes"
"39798",39,"technician","married","university.degree","no","no","yes","cellular","jun","tue",2,999,1,"failure",-1.7,94.055,-39.8,"yes"
"30144",26,"admin.","single","university.degree","no","yes","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"39090",41,"admin.","married","university.degree","no","yes","no","cellular","dec","thu",2,999,0,"nonexistent",-3,92.713,-33,"yes"
"40661",32,"blue-collar","married","basic.4y","no","no","no","cellular","sep","wed",2,999,0,"nonexistent",-1.1,94.199,-37.5,"yes"
"30937",38,"blue-collar","married","basic.6y","no","yes","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"38457",22,"student","single","basic.9y","no","no","no","cellular","oct","fri",1,999,1,"failure",-3.4,92.431,-26.9,"yes"
"30232",51,"technician","married","professional.course","no","yes","yes","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"28124",50,"management","divorced","university.degree","unknown","no","no","telephone","apr","mon",6,999,1,"failure",-1.8,93.075,-47.1,"yes"
"38885",68,"retired","married","high.school","no","no","no","cellular","nov","mon",2,999,1,"failure",-3.4,92.649,-30.1,"yes"
"20188",52,"blue-collar","married","basic.4y","no","yes","no","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"38443",35,"unemployed","married","university.degree","no","no","no","cellular","oct","thu",1,6,1,"success",-3.4,92.431,-26.9,"yes"
"14425",44,"services","divorced","basic.9y","no","no","no","cellular","jul","tue",3,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"24018",32,"admin.","married","high.school","no","no","no","telephone","oct","tue",1,999,0,"nonexistent",-0.1,93.798,-40.4,"yes"
"15590",57,"admin.","married","basic.9y","no","no","no","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"23306",51,"technician","married","university.degree","no","yes","no","cellular","aug","wed",5,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"8436",37,"admin.","divorced","basic.9y","no","no","no","telephone","jun","tue",7,999,0,"nonexistent",1.4,94.465,-41.8,"yes"
"37604",67,"retired","married","professional.course","no","yes","yes","cellular","aug","mon",1,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"39880",29,"admin.","married","high.school","no","yes","no","cellular","jun","wed",3,999,0,"nonexistent",-1.7,94.055,-39.8,"yes"
"39081",23,"student","single","basic.9y","no","yes","no","cellular","dec","tue",2,999,0,"nonexistent",-3,92.713,-33,"yes"
"39217",34,"admin.","single","university.degree","no","no","no","telephone","mar","tue",1,3,1,"success",-1.8,93.369,-34.8,"yes"
"32302",35,"admin.","married","university.degree","no","yes","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"41058",30,"management","married","university.degree","no","no","yes","cellular","oct","wed",1,6,1,"success",-1.1,94.601,-49.5,"yes"
"39324",30,"technician","unknown","university.degree","no","no","no","cellular","mar","mon",2,6,2,"success",-1.8,93.369,-34.8,"yes"
"37069",32,"admin.","single","university.degree","no","yes","no","cellular","jul","wed",5,999,0,"nonexistent",-2.9,92.469,-33.6,"yes"
"37731",51,"management","married","high.school","no","yes","yes","cellular","aug","fri",4,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"28767",24,"admin.","single","university.degree","no","yes","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"25715",35,"admin.","married","university.degree","no","yes","no","cellular","nov","wed",2,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"40899",49,"technician","divorced","professional.course","no","yes","no","cellular","oct","fri",2,3,1,"success",-1.1,94.601,-49.5,"yes"
"37431",28,"admin.","single","university.degree","no","no","no","cellular","aug","wed",1,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"20632",33,"technician","married","high.school","no","no","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"14789",45,"unknown","unknown","unknown","no","yes","yes","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"33851",31,"services","single","basic.6y","no","yes","no","cellular","may","wed",2,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"40267",52,"admin.","married","professional.course","no","no","no","cellular","jul","tue",1,999,0,"nonexistent",-1.7,94.215,-40.3,"yes"
"36977",50,"admin.","married","university.degree","no","yes","no","cellular","jul","thu",5,999,0,"nonexistent",-2.9,92.469,-33.6,"yes"
"40731",60,"retired","married","high.school","no","no","no","cellular","sep","wed",1,999,0,"nonexistent",-1.1,94.199,-37.5,"yes"
"38622",47,"technician","divorced","high.school","no","yes","no","cellular","nov","mon",1,999,1,"failure",-3.4,92.649,-30.1,"yes"
"28957",33,"technician","single","high.school","no","no","no","cellular","apr","fri",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"30599",46,"blue-collar","married","basic.6y","no","yes","no","cellular","may","mon",3,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"15823",32,"services","married","university.degree","no","no","no","telephone","jul","mon",10,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"2636",31,"services","married","basic.9y","no","no","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"38441",24,"admin.","single","university.degree","no","yes","yes","telephone","oct","thu",1,999,0,"nonexistent",-3.4,92.431,-26.9,"yes"
"12905",27,"admin.","single","professional.course","no","no","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"31504",45,"entrepreneur","married","university.degree","no","yes","no","cellular","may","wed",4,999,1,"failure",-1.8,92.893,-46.2,"yes"
"37525",39,"blue-collar","married","basic.6y","no","no","no","cellular","aug","thu",2,3,1,"success",-2.9,92.201,-31.4,"yes"
"40845",30,"student","single","professional.course","no","yes","no","cellular","sep","tue",2,6,1,"success",-1.1,94.199,-37.5,"yes"
"34668",32,"technician","single","professional.course","no","no","no","cellular","may","thu",2,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"41047",60,"admin.","married","high.school","no","no","no","cellular","oct","tue",1,999,1,"failure",-1.1,94.601,-49.5,"yes"
"17721",36,"admin.","married","university.degree","unknown","yes","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"38797",32,"self-employed","married","university.degree","no","no","no","cellular","nov","thu",2,3,2,"success",-3.4,92.649,-30.1,"yes"
"31990",48,"technician","married","basic.9y","no","no","no","cellular","may","thu",3,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"35410",50,"admin.","single","high.school","no","no","yes","cellular","may","fri",8,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"20369",31,"technician","single","high.school","no","yes","yes","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"21985",36,"admin.","single","university.degree","no","yes","no","cellular","aug","wed",3,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"36908",40,"blue-collar","married","professional.course","no","no","no","telephone","jun","mon",1,999,1,"failure",-2.9,92.963,-40.8,"yes"
"36655",29,"technician","married","high.school","no","no","no","cellular","jun","fri",1,999,0,"nonexistent",-2.9,92.963,-40.8,"yes"
"10240",41,"admin.","divorced","high.school","no","no","no","telephone","jun","mon",11,999,0,"nonexistent",1.4,94.465,-41.8,"yes"
"5443",39,"services","married","high.school","no","yes","no","telephone","may","fri",6,999,0,"nonexistent",1.1,93.994,-36.4,"yes"
"37541",26,"student","single","professional.course","no","yes","no","cellular","aug","fri",2,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"40263",84,"retired","divorced","basic.4y","no","yes","yes","cellular","jul","tue",1,3,2,"success",-1.7,94.215,-40.3,"yes"
"36939",33,"housemaid","married","university.degree","no","no","no","cellular","jun","tue",1,999,0,"nonexistent",-2.9,92.963,-40.8,"yes"
"36488",58,"blue-collar","married","basic.4y","no","yes","no","cellular","jun","wed",1,999,0,"nonexistent",-2.9,92.963,-40.8,"yes"
"35914",53,"technician","married","professional.course","no","no","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"40749",82,"retired","divorced","basic.4y","no","yes","no","cellular","sep","thu",2,999,1,"failure",-1.1,94.199,-37.5,"yes"
"35168",35,"blue-collar","married","basic.6y","no","yes","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,"yes"
"38015",30,"admin.","married","university.degree","no","yes","yes","cellular","sep","wed",5,999,0,"nonexistent",-3.4,92.379,-29.8,"yes"
"36959",51,"technician","married","professional.course","no","no","no","cellular","jul","thu",1,13,1,"success",-2.9,92.469,-33.6,"yes"
"22937",36,"technician","married","high.school","no","yes","no","cellular","aug","mon",6,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"24097",58,"retired","divorced","basic.9y","no","yes","no","telephone","nov","mon",1,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"38542",24,"student","single","high.school","no","yes","no","cellular","oct","thu",3,999,0,"nonexistent",-3.4,92.431,-26.9,"yes"
"31775",29,"blue-collar","married","basic.6y","no","no","no","cellular","may","thu",2,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"17763",53,"entrepreneur","married","university.degree","unknown","yes","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"38707",27,"blue-collar","single","high.school","no","no","no","cellular","nov","tue",2,8,2,"failure",-3.4,92.649,-30.1,"yes"
"13012",43,"blue-collar","divorced","high.school","no","yes","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"39692",33,"technician","married","university.degree","no","yes","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,93.876,-40,"yes"
"37110",38,"management","married","university.degree","no","no","no","cellular","jul","tue",5,999,0,"nonexistent",-2.9,92.469,-33.6,"yes"
"36425",30,"admin.","single","university.degree","no","no","no","cellular","jun","tue",2,999,0,"nonexistent",-2.9,92.963,-40.8,"yes"
"28044",28,"blue-collar","single","high.school","no","yes","no","telephone","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"31755",32,"services","married","high.school","no","yes","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"34731",54,"blue-collar","married","basic.9y","no","no","no","cellular","may","thu",2,6,2,"success",-1.8,92.893,-46.2,"yes"
"18261",43,"admin.","divorced","high.school","no","no","no","cellular","jul","wed",4,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"35938",34,"admin.","married","university.degree","no","yes","no","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"10077",28,"management","single","university.degree","no","no","no","telephone","jun","thu",5,999,0,"nonexistent",1.4,94.465,-41.8,"yes"
"26017",52,"management","married","university.degree","no","yes","no","cellular","nov","wed",3,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"41165",54,"admin.","married","professional.course","no","no","no","cellular","nov","tue",2,10,1,"success",-1.1,94.767,-50.8,"yes"
"26576",50,"retired","divorced","high.school","no","yes","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"39948",83,"retired","divorced","basic.4y","no","no","yes","cellular","jun","fri",2,999,0,"nonexistent",-1.7,94.055,-39.8,"yes"
"31164",28,"technician","single","high.school","no","yes","no","cellular","may","wed",2,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"38982",46,"admin.","married","university.degree","no","unknown","unknown","cellular","dec","fri",10,999,0,"nonexistent",-3,92.713,-33,"yes"
"39792",29,"admin.","married","university.degree","no","no","yes","cellular","jun","tue",3,5,1,"success",-1.7,94.055,-39.8,"yes"
"30298",46,"admin.","married","basic.6y","no","no","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"8818",52,"blue-collar","divorced","basic.4y","no","no","no","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,"yes"
"28271",55,"admin.","divorced","university.degree","no","yes","no","cellular","apr","wed",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"38440",25,"services","single","high.school","no","yes","no","cellular","oct","thu",2,999,0,"nonexistent",-3.4,92.431,-26.9,"yes"
"28316",24,"services","single","high.school","no","yes","no","cellular","apr","wed",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"37264",33,"admin.","single","high.school","no","yes","no","cellular","aug","fri",2,999,1,"failure",-2.9,92.201,-31.4,"yes"
"39464",68,"retired","married","university.degree","no","yes","no","cellular","apr","fri",3,999,0,"nonexistent",-1.8,93.749,-34.6,"yes"
"39592",24,"student","single","high.school","no","yes","no","cellular","may","wed",1,3,5,"success",-1.8,93.876,-40,"yes"
"30051",34,"unknown","married","basic.4y","no","yes","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"29914",28,"admin.","single","high.school","no","no","no","cellular","apr","mon",5,999,0,"nonexistent",-1.8,93.075,-47.1,"yes"
"39908",32,"admin.","single","university.degree","no","no","no","cellular","jun","tue",1,12,2,"success",-1.7,94.055,-39.8,"yes"
"37458",28,"admin.","single","university.degree","no","no","no","cellular","aug","thu",5,999,0,"nonexistent",-2.9,92.201,-31.4,"yes"
"38596",25,"student","single","high.school","no","no","no","cellular","oct","fri",1,999,1,"failure",-3.4,92.431,-26.9,"yes"
"36951",45,"admin.","married","university.degree","no","no","no","cellular","jul","thu",1,999,0,"nonexistent",-2.9,92.469,-33.6,"yes"
"39980",27,"admin.","single","high.school","no","no","no","cellular","jun","tue",2,999,0,"nonexistent",-1.7,94.055,-39.8,"yes"
"27104",35,"admin.","single","university.degree","no","yes","yes","cellular","nov","fri",1,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"19122",41,"admin.","married","university.degree","no","no","no","cellular","aug","tue",2,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"39821",35,"technician","single","professional.course","no","yes","no","cellular","jun","tue",1,6,2,"success",-1.7,94.055,-39.8,"yes"
"34722",25,"student","single","high.school","no","yes","no","cellular","may","thu",3,999,1,"failure",-1.8,92.893,-46.2,"yes"
"39730",36,"admin.","married","university.degree","no","yes","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,93.876,-40,"yes"
"19011",58,"admin.","married","high.school","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"38744",28,"management","married","university.degree","no","no","no","cellular","nov","wed",3,999,0,"nonexistent",-3.4,92.649,-30.1,"yes"
"38427",37,"unemployed","married","university.degree","no","yes","no","cellular","oct","thu",2,999,1,"failure",-3.4,92.431,-26.9,"yes"
"40292",80,"retired","divorced","basic.4y","no","no","yes","cellular","jul","thu",2,6,2,"success",-1.7,94.215,-40.3,"yes"
"36237",36,"unemployed","single","university.degree","no","yes","no","cellular","jun","mon",1,4,1,"success",-2.9,92.963,-40.8,"yes"
"38275",17,"student","single","unknown","no","no","yes","cellular","oct","tue",1,2,2,"success",-3.4,92.431,-26.9,"yes"
"30024",23,"admin.","single","university.degree","no","no","no","cellular","apr","wed",1,999,1,"failure",-1.8,93.075,-47.1,"yes"
"12587",44,"entrepreneur","married","basic.6y","unknown","no","no","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"40157",28,"services","single","high.school","no","yes","no","cellular","jul","thu",1,6,1,"success",-1.7,94.215,-40.3,"yes"
"26337",50,"blue-collar","married","professional.course","unknown","no","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"36736",32,"management","single","university.degree","no","no","no","cellular","jun","mon",2,3,1,"success",-2.9,92.963,-40.8,"yes"
"13282",26,"blue-collar","single","basic.9y","no","no","no","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"39422",53,"technician","married","university.degree","no","unknown","unknown","cellular","apr","thu",2,999,2,"failure",-1.8,93.749,-34.6,"yes"
"27852",77,"retired","divorced","unknown","no","yes","no","cellular","mar","tue",1,999,0,"nonexistent",-1.8,92.843,-50,"yes"
"38943",78,"retired","married","professional.course","no","no","no","cellular","nov","fri",2,999,1,"failure",-3.4,92.649,-30.1,"yes"
"24706",52,"services","divorced","high.school","unknown","yes","yes","cellular","nov","mon",2,999,1,"failure",-0.1,93.2,-42,"yes"
"20706",50,"admin.","married","university.degree","no","yes","no","cellular","aug","wed",5,999,0,"nonexistent",1.4,93.444,-36.1,"yes"
"35234",21,"student","single","high.school","unknown","no","no","cellular","may","fri",3,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"24889",52,"management","married","university.degree","no","unknown","unknown","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,"yes"
"18148",52,"admin.","married","basic.9y","no","no","no","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"35324",43,"admin.","married","high.school","no","no","no","cellular","may","fri",4,999,0,"nonexistent",-1.8,92.893,-46.2,"yes"
"36413",24,"unknown","single","university.degree","no","no","no","cellular","jun","tue",1,3,2,"success",-2.9,92.963,-40.8,"yes"
"14619",39,"admin.","divorced","high.school","no","yes","no","cellular","jul","tue",5,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
"24049",34,"admin.","single","university.degree","no","no","no","telephone","oct","tue",1,999,0,"nonexistent",-0.1,93.798,-40.4,"yes"
"38320",33,"admin.","single","university.degree","no","yes","no","telephone","oct","thu",3,6,2,"success",-3.4,92.431,-26.9,"yes"
"40395",41,"admin.","divorced","high.school","no","unknown","unknown","cellular","aug","thu",1,999,0,"nonexistent",-1.7,94.027,-38.3,"yes"
"12502",36,"blue-collar","married","high.school","no","no","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,"yes"
